가	가/보조사 가/주격조사	JX,JKS
가능	가능/일반명사	NNG
거만	거만/일반명사	NNG
것	것/의존명사	NNB
게	게/연결어미	EC
겸손	겸손/일반명사	NNG
고	고/연결어미	EC
고집	고집/일반명사	NNG
교만	교만/일반명사	NNG
구제	구제/일반명사	NNG
꾸지람	꾸지람/일반명사	NNG
기뻐하	기뻐하/동사	VV
ㄴ	ㄴ/관형형전성어미	ETM
남	남/일반명사	NNG
낮	낮/형용사	VA
는	는/관형형전성어미 는/보조사	ETM
는다	는다/종결어미	EF
다	다/종결어미	EF
당하	당하/동사	VV
덮	덮/동사	VV
도	도/보조사	JX
되	되/동사	VV
듣	듣/동사	VV
들	듣(불규칙-들)/동사	VV
로	로(롭-예외)/형용사파생접미사	XSA
롭	롭/형용사파생접미사	XSA
를	를/목적격조사	JKO
말	말/보조용언 말/일반명사	VX,NNG
며	며/연결어미	EC
면	면/연결어미	EC
합니다	합니다/종결어미	EF
받	받/동사	VV
분노	분노/일반명사	NNG
불	불/체언접두사	XPN
불의	불의/일반명사	NNG
사람	사람/일반명사	NNG
사랑	사랑/일반명사	NNG
슬기	슬기/일반명사	NNG
아	아/연결어미	EC
아들	아들/일반명사	NNG
아버지	아버지/일반명사	NNG
않	않/보조용언	VX
어	어/연결어미	EC
여전히	여전히/일반부사	MAG
영광	영광/일반명사	NNG
예기	예기/일반명사	NNG
와	와/부사격조사	JKB
으려고	으려고/연결어미	EC
으면서	으면서/연결어미	EC
은	은/관형형전성어미 은/보조사	ETM,JX
운	운(ㄴ-예외)/관형형전성어미	ETM
을	을/목적격조사	JKO
의	의/관형격조사	JKG
이	이/긍정지정사 이/보격조사 이/주격조사	VCP,JKC,JKS
자	자/일반명사	NNP
자기	자기/대명사	NP
자주	자주/일반부사	MAG
존경	존경/일반명사	NNG
주	주/보조용언	VX
주의깊	주의깊/형용사	VX
지	지/보조용언 지/연결어미	VX,EC
지만	지만/연결어미	EC
지혜	지혜/일반명사	NNG
진리	진리/일반명사	NNG
참	참/동사	VV
책망	책망/일반명사	NNG
타이르	타이르/동사	VV
패망	패망/일반명사	NNG
피우	피우/동사	VV
하	하/동사파생접미사 하/보조용언 하/형용사파생접미사	XSV,VX,XSA
한	한/형용사파생접미사 한(하+ㄴ)/형용사파생접미사+관형형전성어미	한(하+ㄴ)/동사파생접미사	XSA
허물	허물/일반명사	NNG
함께	함께/일반부사 MAG
